Model,Total Parameters (M),Trainable Parameters (M),Model Size (MB),Test Accuracy,Test Precision,Test Recall,Test F1-Score,Inference Time (ms/img),Throughput (img/s),Best Val F1,Best Epoch
VIT,85.802501,85.802501,327.3105659484863,0.8482142857142857,0.8681980687977688,0.850879917184265,0.840536488356641,65.12959656261262,15.35400267739484,0.8589344573555101,10
DEIT,85.807882,85.807882,327.33109283447266,0.9464285714285714,0.9513227513227512,0.9453416149068323,0.9461208437998001,62.44116170065744,16.015076798122273,0.9545992253360674,5
MAE,85.802501,85.802501,327.3105659484863,0.8839285714285714,0.8925641025641026,0.8876811594202898,0.8838417470221213,244.27158988657453,4.093803951840416,0.9091010134030728,9
